Institution,Titre_du_poste,Domaine,Date
CRS,Departmental Officer,"Management/Gestion, Finance, Comptabilité et Commerce",03-Nov-17
IFES,Program and Communications Officer,Communication et Journalisme,01-Nov-17
Wits Health Consortium,Technical Advisor (Ref: 1031),Santé et Professions médicales,31-Oct-17
SOGEDIPA S.A,Assistant(e) a la logistique,"Management/Gestion, Finance, Comptabilité et Commerce",31-Oct-17
CRS,Secrétaire Administrative/Logistique,Secrétariat,31-Oct-17
NCBA CLUSA,High Value Crop Specialist,Agriculture – Agroalimentaire,31-Oct-17
NCBA CLUSA,Community Organization Specialist,Agriculture – Agroalimentaire,31-Oct-17
Caritas Suisse,Officier Logistique et Sécurité,"Management/Gestion, Finance, Comptabilité et Commerce",31-Oct-17
JSI,RBF M&E Advisor,Sciences économiques et politiques,31-Oct-17
SOGEDIPA S.A,RESPONSABLE DES COMPTES A RECEVOIR,"Management/Gestion, Finance, Comptabilité et Commerce",31-Oct-17
CEMEX HAITI,Logistique Supervisor,Transport et Logistique,31-Oct-17
RTI International,Chef de Projet Adjoint,"Management/Gestion, Finance, Comptabilité et Commerce",29-Oct-17
RTI International,"Spécialiste en Suivi, Evaluation, et ‘’Learning’’",Sciences Humaines et Sociales,29-Oct-17
RTI International,Responsable Opérationnel & Administratif,Sciences économiques et politiques,29-Oct-17
PROFAMIL,Consultant Designer Graphiste,Sciences Informatiques,27-Oct-17
Heifer Haiti,Coordonnateur de Projet,"Management/Gestion, Finance, Comptabilité et Commerce",27-Oct-17
Heifer Haiti,Officier Suivi et Evaluation,Sciences économiques et politiques,27-Oct-17
Chemonics International / Projet de reboisement USAID,Spécialiste en technologie informatique,Sciences Informatiques,27-Oct-17
CARE Haiti,Assistant (e) en Communication - Secrétariat de la Table Sectorielle Protection Sociale MAST,Communication et Journalisme,27-Oct-17
GHSC-PSM,Agent de Collecte et de Tri,Santé et Professions médicales,25-Oct-17
GHSC-PSM,Chef d'equipe/Projet PSI - Unite deGestion des dechets pharmaceutiques,Santé et Professions médicales,25-Oct-17
GHSC-PSM,Agent de tri/ Projet PSI,Santé et Professions médicales,25-Oct-17
Heifer Haiti,Assistante Administrative,Secrétariat,25-Oct-17
Heifer Haiti,Administrateur (rice) de Projet,"Management/Gestion, Finance, Comptabilité et Commerce",25-Oct-17
Secteur projet,Coordonnateur Technique d’appui aux OEV,Sciences Humaines et Sociales,25-Oct-17
Heifer Haiti,Agronome Spécialiste (Jeremie),Agriculture – Agroalimentaire,25-Oct-17
Heifer Haiti,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",25-Oct-17
PADF/HAITI,Deputy Chief of Party – USAID/Haiti Community Driven Development Project,"Management/Gestion, Finance, Comptabilité et Commerce",23-Oct-17
Solidarites International,Gestionnaire IT,Sciences Informatiques,21-Oct-17
Family Health International - FHI360,Deputy Chief of Party,Sciences Humaines et Sociales,21-Oct-17
Family Health International - FHI360,Chief of Party/ USAID/Haiti Civil Society and Media Activity,Sciences Humaines et Sociales,21-Oct-17
Family Health International - FHI360,Youth Corps Coordinator,Sciences Humaines et Sociales,21-Oct-17
Family Health International - FHI360,Civil Society Capacity and Advocacy Specialist,Sciences Humaines et Sociales,21-Oct-17
Chemonics International / Projet de reboisement USAID,Coordinateur des Approvisionnements,"Management/Gestion, Finance, Comptabilité et Commerce",20-Oct-17
Chemonics International / Projet de reboisement USAID,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",20-Oct-17
Chemonics International / Projet de reboisement USAID,Aide-comptable,"Management/Gestion, Finance, Comptabilité et Commerce",20-Oct-17
Chemonics International / Projet de reboisement USAID,Assistant Administratif,Secrétariat,20-Oct-17
Chemonics International / Projet de reboisement USAID,Chauffeur,Transport et Logistique,20-Oct-17
CARE Haiti,Officier Logistique,Transport et Logistique,20-Oct-17
GRET Haiti,Chef de projet,Santé et Professions médicales,20-Oct-17
GRET Haiti,Chef de Projet,Agriculture – Agroalimentaire,20-Oct-17
AIR,Monitoring & Evaluation Specialist,Sciences Humaines et Sociales,20-Oct-17
Secteur prive,Silk Screen Professionnals,Métiers du bâtiment et autres,20-Oct-17
FAES,Un (e) Coordonnateur (trice),Sciences Humaines et Sociales,20-Oct-17
FHI/Humanité & Inclusion_ HI,Caissier,"Management/Gestion, Finance, Comptabilité et Commerce",19-Oct-17
USAID|Haiti/AVANSE,Consultant pour la lutte intégrée des maladies et des ravageurs de la culture du cacao,Agriculture – Agroalimentaire,19-Oct-17
OHMaSS (PSI-Haïti),Agent Groupes de Support-PF-Consultant,Sciences Humaines et Sociales,18-Oct-17
ACTED,Assistant Chef de Projet (INFRA),Sciences de l’Ingénieur,18-Oct-17
USAID,Project Management Specialist (Supply Chain),"Management/Gestion, Finance, Comptabilité et Commerce",18-Oct-17
USAID,Project Management Specialist (Care and Treatment [C&T]),Santé et Professions médicales,18-Oct-17
USAID,Development Program Specialist (Budget),"Management/Gestion, Finance, Comptabilité et Commerce",18-Oct-17
GHSC-TA,Chauffeur,Transport et Logistique,16-Oct-17
CDS,Travailleur Social,Sciences Humaines et Sociales,16-Oct-17
PNUD Haiti,Directeur(trice) National(e) - Projet Appui à Gouvernance Loc et Dév. Ter. (AGDLT) - Republication,"Management/Gestion, Finance, Comptabilité et Commerce",16-Oct-17
Brasserie de la Couronne S.A.,Agent Commercial (Cap-Haitien),Marketing,16-Oct-17
Good Neighbors International,Assistant Administrative,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-17
GHSC-PSM,Country Security Manager,Sécurité,15-Oct-17
ABT/Shops Plus Project USAID,Chief of Party,"Management/Gestion, Finance, Comptabilité et Commerce",15-Oct-17
ABT/Shops Plus Project USAID,Data Entry,Santé et Professions médicales,13-Oct-17
DIGICEL,Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",13-Oct-17
Sevis finansye Fonkoze,Research & Product Devlelopment Manager,Marketing,13-Oct-17
CRS,Senior Project Officer – Training,Sciences Humaines et Sociales,12-Oct-17
CRS,Senior Project Officer – Institutional Capacity Strengthening,"Management/Gestion, Finance, Comptabilité et Commerce",12-Oct-17
CRS,Senior Project Officer – DPC Coordination,"Management/Gestion, Finance, Comptabilité et Commerce",12-Oct-17
CRS,Emergency Response Strengthening MEAL OFFICER,Sciences économiques et politiques,12-Oct-17
Save the Children en Haiti,Internal Controller and Compliance (ICC),"Management/Gestion, Finance, Comptabilité et Commerce",12-Oct-17
FAO,Consultant National en Nutrition,Santé et Professions médicales,10-Oct-17
Extreme Protection SA,Secretaire debutante,Secrétariat,08-Oct-17
USAID|Haiti/AVANSE,Senior Engineer,Sciences de l’Ingénieur,08-Oct-17
USAID|Haiti/AVANSE,On-Site Construction Inspector/Observer,Sciences de l’Ingénieur,08-Oct-17
Save the Children en Haiti,Community Mobilisation Officer,Sciences Humaines et Sociales,08-Oct-17
Save the Children en Haiti,Community Mobilisation Coordinator,"Management/Gestion, Finance, Comptabilité et Commerce",08-Oct-17
Oxfam Intermon,HR Business Partner,"Management/Gestion, Finance, Comptabilité et Commerce",08-Oct-17
IFES,Monitoring and Evaluation Officer,"Management/Gestion, Finance, Comptabilité et Commerce",07-Oct-17
"DAI Global, LLC","Technical Specialists, Credit/Equity/SME Capacity Building","Management/Gestion, Finance, Comptabilité et Commerce",07-Oct-17
MSPP/PASMISSI,Spécialiste Sauvegarde Sociale,Sciences Humaines et Sociales,06-Oct-17
MSPP/PASMISSI,Spécialiste en Sauvegarde Environnementale,Agriculture – Agroalimentaire,06-Oct-17
GOAL Haiti,Finance and Compliance Manager,"Management/Gestion, Finance, Comptabilité et Commerce",06-Oct-17
PRODEV,Spécialiste dans la Gestion des Risques et Desastres,Environnement et Sciences de la Terre,05-Oct-17
MDM France,Chargé(e) de Plaidoyer (Appliquer à nouveau),Sciences économiques et politiques,05-Oct-17
MDM France,Coordinateur médical en Haïti (Appliquer à nouveau),Santé et Professions médicales,05-Oct-17
PRODEV,Enquêteurs,Sciences économiques et politiques,04-Oct-17
PRODEV,MEAL Assistant,Sciences économiques et politiques,04-Oct-17
Chemonics International / Projet de reboisement USAID,Spécialiste en Foresterie et Développement Rural,Agriculture – Agroalimentaire,02-Oct-17
Chemonics International / Projet de reboisement USAID,Spécialiste en Communication,Communication et Journalisme,02-Oct-17
Chemonics International / Projet de reboisement USAID,Spécialiste en Gestion de Bassins Versants,Agriculture – Agroalimentaire,02-Oct-17
Chemonics International / Projet de reboisement USAID,Spécialiste en Gouvernance et Institutions,"Management/Gestion, Finance, Comptabilité et Commerce",02-Oct-17
Chemonics International / Projet de reboisement USAID,Coordinateur de Production Agricole,Agriculture – Agroalimentaire,02-Oct-17
Chemonics International / Projet de reboisement USAID,Coordinateur de la Reforestation et Agroforesterie,Agriculture – Agroalimentaire,02-Oct-17
Chemonics International / Projet de reboisement USAID,Responsable des Opérations/Administration,"Management/Gestion, Finance, Comptabilité et Commerce",02-Oct-17
Secteur international,Chauffeur,Transport et Logistique,02-Oct-17
InnovEd-UniQ,Spécialiste de l’Education,Sciences de l’Education,30-Sep-17
Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Directeur Exécutif,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-17
Secteur prive,Directeur (trice) des Opérations,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-17
FOME,Directeur Médical,Santé et Professions médicales,30-Sep-17
FINCA Haiti S.A.,Project Manager – Financial Inclusion Project in Haiti,"Management/Gestion, Finance, Comptabilité et Commerce",30-Sep-17
FOME,General Education Director,Sciences de l’Education,30-Sep-17
HG selectiva,Quality inspector,Sciences de l’Ingénieur,29-Sep-17
Ayiti Air Anbilans,Emergency Helicopter Dispatcher,Communication et Journalisme,28-Sep-17
Quala Ayiti,Analista de calidad,Biologie/Chimie,28-Sep-17
Quala Ayiti,Tecnico de mantenimiento,Mécanique,28-Sep-17
CDS,Infirmière Dispensatrice,Santé et Professions médicales,27-Sep-17
CARE Haiti,Officier (e) de Liaison Interinstitutionnelle,Sciences Humaines et Sociales,27-Sep-17
CARE Haiti,Officier(e) Administratif (ve) / Protection Sociale-Kore Lavi,"Management/Gestion, Finance, Comptabilité et Commerce",27-Sep-17
CARE Haiti,Chargé (e) des Operations / Protection Sociale-Kore Lavi,"Management/Gestion, Finance, Comptabilité et Commerce",27-Sep-17
Save the Children en Haiti,Child Rights Governance Coordinator,Sciences Humaines et Sociales,27-Sep-17
Concern Worldwide Haiti,Animateurs sociaux,Sciences Humaines et Sociales,25-Sep-17
Malteser International,Promoteur d'hygiene et de prevention de cholera,Communication et Journalisme,25-Sep-17
Secteur prive,Demarcheur / Vendeur externe,Marketing,25-Sep-17
MDE/MACAYA,Administrateur Opérationnel du Parc Naturel National Macaya,"Management/Gestion, Finance, Comptabilité et Commerce",25-Sep-17
MDE/MACAYA,Chargé des Projets Communautaires et Sociaux,Sciences Humaines et Sociales,25-Sep-17
MDE/MACAYA,Chargé de sensibilisation et de la visibilité du projet auprès des communautés locales et autorités,Sciences de l’Education,25-Sep-17
MDE/MACAYA,Inspecteur Chef de Brigade,"Architecture, Urbanisme et Aménagement du territoire",25-Sep-17
MDE/MACAYA,"Responsable du Service de Recherche, Suivi et Evaluation du Parc Naturel National Macaya",Environnement et Sciences de la Terre,25-Sep-17
GRET Haiti,Ingénieur agronome avec une formation spécialisée en irrigation et gestion sociale de l’eau (GSE),Agriculture – Agroalimentaire,25-Sep-17
Secteur prive,Directeur de Comptoir,"Management/Gestion, Finance, Comptabilité et Commerce",25-Sep-17
CRS,"Gestionnaire de programme, prévention du VIH pour les adolescentes et jeunes filles",Santé et Professions médicales,25-Sep-17
PROFAMIL,Statisticien,Sciences Informatiques,22-Sep-17
Secteur prive,Agent de marketing Senior,"Management/Gestion, Finance, Comptabilité et Commerce",22-Sep-17
Project Medishare for Haiti,Finance Manager,Santé et Professions médicales,22-Sep-17
VFHI,Community Development & Special Projects Coordinator,Sciences de l’Education,22-Sep-17
CEDEL HAITI,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce",21-Sep-17
Fondation Agridev,Consultant pour formation intensive sur toute la chaine de production au Plateau Central,Agriculture – Agroalimentaire,20-Sep-17
Fondation Agridev,Consultant spécialiste en production agricole pour l'élaboration de fiches techniques,Agriculture – Agroalimentaire,20-Sep-17
Secteur projet,Assistant(e) Administratif(ve),Secrétariat,20-Sep-17
CRS,"Gestionnaire de projet, protection de l’enfance et gestion des cas",Sciences Humaines et Sociales,20-Sep-17
Initiative Développement,Responsable de volet construction - réhabilitation,Métiers du bâtiment et autres,20-Sep-17
CBM,Consultant,Sciences Humaines et Sociales,19-Sep-17
GRET Haiti,Logisticien / Chauffeur,Transport et Logistique,18-Sep-17
Secteur prive,Chauffeur d'équipements lourds (Camion-Grue),Transport et Logistique,18-Sep-17
Save the Children en Haiti,Finance Officer,"Management/Gestion, Finance, Comptabilité et Commerce",17-Sep-17
Tetra Tech,spécialistes techniques en prestation de services,"Management/Gestion, Finance, Comptabilité et Commerce",17-Sep-17
Tetra Tech,"spécialistes techniques en Responsabilité, transparence et règle de droit",Droit,17-Sep-17
Tetra Tech,spécialistes techniques en Coordination inter-institutions,Communication et Journalisme,17-Sep-17
Tetra Tech,spécialistes techniques en Administration publique,"Management/Gestion, Finance, Comptabilité et Commerce",17-Sep-17
CDS,Technologiste Medical,Santé et Professions médicales,15-Sep-17
Save the Children en Haiti,Assistant(e) social(e),Sciences Humaines et Sociales,15-Sep-17
Save the Children en Haiti,Responsable de Résidence pour Jeunes,Sciences Humaines et Sociales,15-Sep-17
Oxfam Intermon,Chef (fe) de Projet EPAH-Artibonite,"Management/Gestion, Finance, Comptabilité et Commerce",15-Sep-17
CRS,Supply Chain Manager,"Management/Gestion, Finance, Comptabilité et Commerce",15-Sep-17
CRS,Administrative Manager,"Management/Gestion, Finance, Comptabilité et Commerce",15-Sep-17
UGP/MSPP/PEPFAR,Chef de Service d’achat (Laboratoire National),"Management/Gestion, Finance, Comptabilité et Commerce",15-Sep-17
UGP/MSPP/PEPFAR,Comptable (Laboratoire National),"Management/Gestion, Finance, Comptabilité et Commerce",15-Sep-17
I-TECH,IT Development and Implementation Officer,Sciences Informatiques,15-Sep-17
Global Communities - (formerly CHF),Reporting Officer,Langues et Lettres,15-Sep-17
CRS,Project Manager – OFDA Community Based Organization Strengthening,"Management/Gestion, Finance, Comptabilité et Commerce",14-Sep-17
RANFOSE,Directeur Technique,Santé et Professions médicales,13-Sep-17
RANFOSE,Coordonnateur de Programme /Spécialiste Suivi et Évaluation,Sciences économiques et politiques,13-Sep-17
CARE Haiti,Manager de cantines scolaires,Sciences Humaines et Sociales,13-Sep-17
Save the Children en Haiti,"Proposal, Reporting and Communications Coordinator",Sciences Humaines et Sociales,12-Sep-17
WeltHungerHilfe (Agro Action Allemande),Chef de projet (Cadre National),Agriculture – Agroalimentaire,12-Sep-17
CRS,Ingénieur Génie Civil,Sciences de l’Ingénieur,11-Sep-17
CRS,Technicien WASH,Sciences de l’Ingénieur,11-Sep-17
FHI/Humanité & Inclusion_ HI,Responsable de volet Inclusion,Sciences Humaines et Sociales,11-Sep-17
Jhpiego,Analyste de donnees qualitatives,Sciences Humaines et Sociales,10-Sep-17
Jhpiego,Agents enquêteurs,Santé et Professions médicales,10-Sep-17
Save the Children en Haiti,Human Resources and Administration Officer,"Management/Gestion, Finance, Comptabilité et Commerce",10-Sep-17
Save the Children en Haiti,Basic Education Sr. Officier,Sciences de l’Education,10-Sep-17
Oxfam Intermon,Responsable du Programme de Qualite et de Developpement des Fonds (PQFD),"Management/Gestion, Finance, Comptabilité et Commerce",10-Sep-17
